epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1394.3,1.47772,2.15134,1.11642,1.14834,0.83997,0.81915,0.88447,0.49216,0.70726,0.69399,0.61687,0.19442,1.49557,2.33065,1.06724,1.19204,0.0011486,0.0011486,0.0011486
88,1410.29,1.4808,2.18621,1.0931,1.15441,0.83997,0.81915,0.88447,0.49216,0.70726,0.69399,0.61687,0.19442,1.49557,2.33065,1.06724,1.19204,0.0011387,0.0011387,0.0011387
89,1427.19,1.48239,2.22056,1.06279,1.14458,0.85791,0.83501,0.88769,0.48535,0.7312,0.71277,0.6572,0.22178,1.50013,2.29111,1.06312,1.19637,0.0011288,0.0011288,0.0011288
90,1444.43,1.42034,2.10853,1.0492,1.14892,0.85791,0.83501,0.88769,0.48535,0.7312,0.71277,0.6572,0.22178,1.50013,2.29111,1.06312,1.19637,0.0011189,0.0011189,0.0011189
91,1461.51,1.4697,2.13755,1.08834,1.14121,0.85791,0.83501,0.88769,0.48535,0.7312,0.71277,0.6572,0.22178,1.50013,2.29111,1.06312,1.19637,0.001109,0.001109,0.001109
92,1478.58,1.48393,2.24321,1.0918,1.1544,0.86367,0.80878,0.89806,0.51126,0.79587,0.71277,0.72065,0.24032,1.47962,2.25654,1.04763,1.1879,0.0010991,0.0010991,0.0010991
93,1496.39,1.41436,2.18877,1.28751,1.15597,0.86367,0.80878,0.89806,0.51126,0.79587,0.71277,0.72065,0.24032,1.47962,2.25654,1.04763,1.1879,0.0010892,0.0010892,0.0010892
94,1512.95,1.40955,2.16347,1.16406,1.12381,0.86367,0.80878,0.89806,0.51126,0.79587,0.71277,0.72065,0.24032,1.47962,2.25654,1.04763,1.1879,0.0010793,0.0010793,0.0010793
95,1531.56,1.5401,2.24375,1.09426,1.16198,0.83984,0.83681,0.89955,0.50752,0.80581,0.64894,0.70869,0.224,1.51568,2.24992,1.05372,1.20933,0.0010694,0.0010694,0.0010694
96,1547.99,1.49474,2.09861,1.11484,1.14683,0.83984,0.83681,0.89955,0.50752,0.80581,0.64894,0.70869,0.224,1.51568,2.24992,1.05372,1.20933,0.0010595,0.0010595,0.0010595
